编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1875,深圳木之韵装饰工程有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao珍彩鸟旗舰店"，"点我对话"),珍彩鸟旗舰店,珍彩鸟旗舰店,,,,,https://shop354757537.taobao.com,,,61931.00,辽宁,针织女,,4.99021分,92.30%,4.97338分,84.21%,4.97377分,83.56%,,,,,,,,,,
1876,苏州天色视觉摄影有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao永吉太米旗舰店"，"点我对话"),永吉太米旗舰店,永吉太米旗舰店,,,,,https://shop104841248.taobao.com,,,10388791.20,辽宁,针织女,,4.86733分,0%,4.79432分,0.77%,4.81988分,0%,,,,,,,,,,
1877,深圳市菲梦伊时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofxmongyi旗舰店"，"点我对话"),fxmongyi旗舰店,fxmongyi旗舰店,,,,,https://shop69859644.taobao.com,,,13177930.00,辽宁,针织女,,4.90559分,25.77%,4.84725分,9.38%,4.87482分,21.55%,,,,,,,,,,
1878,深圳市爱芙德贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoevedacc爱芙德旗舰店"，"点我对话"),evedacc爱芙德旗舰店,evedacc爱芙德旗舰店,,,,,https://shop108873003.taobao.com,,,6297721.00,辽宁,针织女,,4.89322分,16.05%,4.87474分,25.69%,4.8809分,25.36%,,,,,,,,,,
1879,东莞市荣鑫服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娇莲本雅旗舰店"，"点我对话"),娇莲本雅旗舰店,娇莲本雅旗舰店,,,,,https://shop220203697.taobao.com,,,4668166.00,辽宁,针织女,,4.93042分,45.29%,4.89972分,40.51%,4.90799分,42.34%,,,,,,,,,,
1880,辉南县佐儿服饰贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杰杰丝旗舰店"，"点我对话"),杰杰丝旗舰店,杰杰丝旗舰店,,,,,https://shop57300394.taobao.com,,,1015819.00,辽宁,针织女,,4.85556分,0%,4.76667分,1.34%,4.78333分,1.18%,,,,,,,,,,
1881,浙江麦娇奴服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao莱芙艾迪儿旗舰店"，"点我对话"),莱芙艾迪儿旗舰店,莱芙艾迪儿旗舰店,,,,,https://shop117436447.taobao.com,,,328145.00,辽宁,针织女,,4.96012分,68.65%,4.9182分,51.47%,4.91718分,48.09%,,,,,,,,,,
1882,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尼维雅nivya"，"点我对话"),尼维雅nivya,芩维妮(KISSVIN),,,,,https://shop151396415.taobao.com,,,0,辽宁,针织女,,4.65441,-2.93%,4.66912,-3.44%,4.70588分,-2.81%,,,,,,,,,,
1883,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao香蕉_红了"，"点我对话"),香蕉_红了,佰瑞儿BERYL高端欧美女装,,,,,https://shop71981576.taobao.com,,,122146.00,辽宁,针织女,,4.87208,37.56%,4.90221,40.51%,4.9028分,38.46%,,,,,,,,,,
1884,深圳市龙轩电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩妤旗舰店"，"点我对话"),韩妤旗舰店,韩妤旗舰店,,,,,https://shop461502346.taobao.com,,,388512.00,辽宁,针织女,,4.96036分,68.83%,4.95017分,70.44%,4.95527分,71.97%,,,,,,,,,,
1885,深圳市遇见文化发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaottcolor旗舰店"，"点我对话"),ttcolor旗舰店,ttcolor旗舰店,,,,,https://shop67292241.taobao.com,,,0,内蒙古,针织女,,4.89337分,16.15%,4.87176分,23.94%,4.86888分,17.84%,,,,,,,,,,
1886,深圳七彩尚道电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao七彩尚道服饰旗舰店"，"点我对话"),七彩尚道服饰旗舰店,七彩尚道服饰旗舰店,,,,,https://shop110714284.taobao.com,,,348876.00,内蒙古,针织女,,4.86193分,0%,4.8132分,0%,4.83756分,0%,,,,,,,,,,
1887,深圳维多利亚时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao仙菲服饰旗舰店"，"点我对话"),仙菲服饰旗舰店,仙菲服饰旗舰店,,,,,https://shop100171904.taobao.com,,,2316285.00,内蒙古,针织女,,4.94605分,57.58%,4.92029分,52.71%,4.92581分,53.50%,,,,,,,,,,
1888,深圳市钰富信息咨询有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恩怀旗舰店"，"点我对话"),恩怀旗舰店,恩怀旗舰店,,,,,https://shop217342479.taobao.com,,,820110.90,内蒙古,针织女,,4.84907分,0%,4.82179分,0%,4.83675分,0%,,,,,,,,,,
1889,深圳市北欧风电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaonordicwinds旗舰店"，"点我对话"),nordicwinds旗舰店,nordicwinds旗舰店,,,,,https://shop68055550.taobao.com,,,13725252.00,内蒙古,针织女,,4.93675分,50.27%,4.91193分,47.75%,4.91484分,46.63%,,,,,,,,,,
1890,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopartysu韩"，"点我对话"),partysu韩,韩范女衣,,,,,https://shop112148807.taobao.com,,,0,内蒙古,针织女,,4.70785,-1.82%,4.81105,-0.51%,4.81686分,-0.52%,,,,,,,,,,
1891,广州市俏琼儿服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao俏琼儿旗舰店"，"点我对话"),俏琼儿旗舰店,俏琼儿旗舰店,,,,,https://shop111290116.taobao.com,,,0,内蒙古,针织女,,4.86149分,0%,4.80405分,0.57%,4.84459分,2.60%,,,,,,,,,,
1892,东莞市梦一场服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao漫逸春色旗舰店"，"点我对话"),漫逸春色旗舰店,漫逸春色旗舰店,,,,,https://shop309007924.taobao.com,,,641892.00,内蒙古,针织女,,4.94737分,58.62%,4.94942分,69.99%,4.9523分,70.11%,,,,,,,,,,
1893,深圳市优美时尚形象管理有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoumisky优美世界旗舰店"，"点我对话"),umisky优美世界旗舰店,umisky优美世界旗舰店,,,,,https://shop357773125.taobao.com,,,48618.00,内蒙古,针织女,,4.86792分,0%,4.81604分,0%,4.87736分,23.14%,,,,,,,,,,
1894,深圳市伊卉服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao伊卉旗舰店"，"点我对话"),伊卉旗舰店,伊卉旗舰店,,,,,https://shop60351645.taobao.com,,,5904693.00,内蒙古,针织女,,4.8919分,15.01%,4.83586分,2.63%,4.84899分,5.36%,,,,,,,,,,
1895,深圳市伊莉莎服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomiuco旗舰店"，"点我对话"),miuco旗舰店,miuco旗舰店,,,,,https://shop163520198.taobao.com,,,1384156.80,内蒙古,针织女,,4.87057分,0%,4.85299分,12.79%,4.8715分,19.47%,,,,,,,,,,
1896,深圳市森一行贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao可爱红颜旗舰店"，"点我对话"),可爱红颜旗舰店,可爱红颜旗舰店,,,,,https://shop565813790.taobao.com,,,0,内蒙古,针织女,,4.85716分,0%,4.81653分,0%,4.84065分,0%,,,,,,,,,,
1897,深圳乔娜安达服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojoannada乔娜安达旗舰店"，"点我对话"),joannada乔娜安达旗舰店,joannada乔娜安达旗舰店,,,,,https://shop282019302.taobao.com,,,0,内蒙古,针织女,,4.98246分,86.21%,4.92105分,53.17%,4.93421分,58.78%,,,,,,,,,,
1898,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolb0126"，"点我对话"),lb0126,Misi迷私 高端轻奢女,,,,,https://shop57838801.taobao.com,,,148794.00,内蒙古,针织女,,4.88848分,45.60%,4.9159分,48.88%,4.92139分,50.28%,,,,,,,,,,
1899,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozhangyanru1314"，"点我对话"),zhangyanru1314,RC如初定制女装,,,,,https://shop114631985.taobao.com,,,2880.00,内蒙古,针织女,,4.73016分,-1.35%,4.73016分,-2.18%,4.80952分,-0.67%,,,,,,,,,,
1900,深圳市天尚服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoifbyeva旗舰店"，"点我对话"),ifbyeva旗舰店,ifbyeva旗舰店,,,,,https://shop105530512.taobao.com,,,159745.00,内蒙古,针织女,,4.91727分,34.95%,4.88004分,28.85%,4.88728分,29.37%,,,,,,,,,,
1901,深圳市颖希企业设计发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoilovepretty旗舰店"，"点我对话"),ilovepretty旗舰店,ilovepretty旗舰店,,,,,https://shop578259550.taobao.com,,,0,内蒙古,针织女,,4.88856分,12.38%,4.91202分,47.81%,4.93255分,57.73%,,,,,,,,,,
1902,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恒曼雅电子商务"，"点我对话"),恒曼雅电子商务,ifashion小曼家,,,,,https://shop130652041.taobao.com,,,38421.00,内蒙古,针织女,,4.75444,-0.85%,4.80381,-0.66%,4.81247分,-0.61%,,,,,,,,,,
1903,深圳市宝泰来电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣窕旗舰店"，"点我对话"),衣窕旗舰店,衣窕旗舰店,,,,,https://shop291626246.taobao.com,,,2357146.00,内蒙古,针织女,,4.88548分,9.96%,4.87635分,26.65%,4.90083分,37.85%,,,,,,,,,,
1904,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao合巢客"，"点我对话"),合巢客,西蔻OUTLET折扣店,,,,,https://shop547987705.taobao.com,,,23813.00,内蒙古,针织女,,4.88601分,44.36%,4.8981分,38.01%,4.90155分,37.67%,,,,,,,,,,
1905,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopengxiaojuan2007"，"点我对话"),pengxiaojuan2007,子涵坊欧美高端女装,,,,,https://shop105582549.taobao.com,,,33464.00,内蒙古,针织女,,4.85987分,31.65%,4.92357分,53.54%,4.91083分,43.60%,,,,,,,,,,
1906,东莞市腾莱服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao针织元素旗舰店"，"点我对话"),针织元素旗舰店,针织元素旗舰店,,,,,https://shop194041614.taobao.com,,,580428.00,内蒙古,针织女,,4.90814分,27.78%,4.8544分,13.63%,4.86731分,16.84%,,,,,,,,,,
1907,东莞市天中服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao奢规则旗舰店"，"点我对话"),奢规则旗舰店,奢规则旗舰店,,,,,https://shop361383519.taobao.com,,,2883503.00,内蒙古,针织女,,4.91489分,33.08%,4.91104分,47.23%,4.92035分,50.08%,,,,,,,,,,
1908,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohq220334"，"点我对话"),hq220334,潮流优品店,,,,,https://shop67559371.taobao.com,,,25530.00,内蒙古,针织女,,4.84986分,26.72%,4.89518分,36.23%,4.86686分,15.71%,,,,,,,,,,
1909,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao崔本刚2011"，"点我对话"),崔本刚2011,蓝小姐原创针织衣橱,,,18944733818,,https://shop69518398.taobao.com,,,179928.00,内蒙古,针织女,,4.80973,7.13%,4.8327,0.10%,4.83244分,0.20%,,,,,,,,,,
1910,深圳市盈华讯丰科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao米蔻兰旗舰店"，"点我对话"),米蔻兰旗舰店,米蔻兰旗舰店,,,,,https://shop556366089.taobao.com,,,1618622.00,内蒙古,针织女,,4.91434分,32.65%,4.90637分,44.46%,4.94223分,63.79%,,,,,,,,,,
1911,深圳市蒲牌时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蒲牌服饰旗舰店"，"点我对话"),蒲牌服饰旗舰店,蒲牌服饰旗舰店,,,,,https://shop67539137.taobao.com,,,0,内蒙古,针织女,,4.93047分,45.33%,4.91963分,52.33%,4.92351分,52.07%,,,,,,,,,,
1912,深圳市圣妮安娜服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao米阿玛施曼旗舰店"，"点我对话"),米阿玛施曼旗舰店,米阿玛施曼旗舰店,,,,,https://shop244426200.taobao.com,,,444378.00,内蒙古,针织女,,4.97179分,77.82%,4.96387分,78.57%,4.9661分,78.75%,,,,,,,,,,
1913,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾苗衣橱"，"点我对话"),艾苗衣橱,艾苗衣橱,,,,,https://shop142789117.taobao.com,,,1609944.00,内蒙古,针织女,,4.73346分,-1.29%,4.81316分,0.46%,4.86618分,15.28%,,,,,,,,,,
1914,杭州柴钦钦贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芷娜旗舰店"，"点我对话"),芷娜旗舰店,芷娜旗舰店,,,,,https://shop343286250.taobao.com,,,1095754.40,内蒙古,针织女,,4.80356分,1.42%,4.74844分,1.72%,4.78519分,1.14%,,,,,,,,,,
1915,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaostingray119"，"点我对话"),stingray119,我爱119,,0755-26531294,,,https://shop33955676.taobao.com,,,0,内蒙古,针织女,,4.89045分,46.53%,4.92286分,53.07%,4.92135分,50.21%,,,,,,,,,,
1916,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪贝贝时装"，"点我对话"),雪贝贝时装,雪贝贝外贸,,,,,https://shop62907627.taobao.com,,,447202.00,内蒙古,针织女,,4.92529分,63.53%,4.93103分,58.04%,4.93103分,56.33%,,,,,,,,,,
1917,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobumingz"，"点我对话"),bumingz,GM轻奢 精品女装店,,,,,https://shop34575454.taobao.com,,,0,内蒙古,针织女,,4.98113分,90.79%,4.98113分,88.52%,4.96226分,76.11%,,,,,,,,,,
1918,东莞市引力服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoylmyiiluck旗舰店"，"点我对话"),ylmyiiluck旗舰店,ylmyiiluck旗舰店,,,,,https://shop179251119.taobao.com,,,4098410.00,内蒙古,针织女,,4.89584分,18.11%,4.87814分,27.71%,4.89408分,33.62%,,,,,,,,,,
1919,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao秀玉比妃"，"点我对话"),秀玉比妃,秀玉比妃高端品位女装,,,,,https://shop69094775.taobao.com,,,60862.00,内蒙古,针织女,,4.91525分,58.63%,4.9322分,58.75%,4.92203分,50.64%,,,,,,,,,,
1920,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芯萍芷"，"点我对话"),芯萍芷,新时代潮妹馆,,,,,https://shop112040234.taobao.com,,,23372.80,内蒙古,针织女,,4.71132分,-1.75%,4.75613分,-1.64%,4.78386分,-1.20%,,,,,,,,,,
1921,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowestlink"，"点我对话"),westlink,西遇官方店,,0755-82406242,,,https://shop35378736.taobao.com,,,0,内蒙古,针织女,,4.77436,0.43%,4.81894,0.34%,4.83587分,0.13%,,,,,,,,,,
1922,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧美文文代购"，"点我对话"),欧美文文代购,Zxc原创女装,,,,,https://shop112676243.taobao.com,,,0,内蒙古,针织女,,4.95495分,78.01%,4.96096分,76.25%,4.96096分,75.28%,,,,,,,,,,
1923,深圳市金丰盈服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾斯谜裳旗舰店"，"点我对话"),艾斯谜裳旗舰店,艾斯谜裳旗舰店,,,,,https://shop113931018.taobao.com,,,1070689.00,内蒙古,针织女,,4.9098分,29.08%,4.88758分,33.31%,4.89477分,34.05%,,,,,,,,,,
1924,深圳市米珂拉服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomikla旗舰店"，"点我对话"),mikla旗舰店,mikla旗舰店,,,,,https://shop100306726.taobao.com,,,529821.60,内蒙古,针织女,,4.9387分,51.80%,4.9023分,42.05%,4.90996分,43.58%,,,,,,,,,,
1925,深圳市远辉服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofeizing旗舰店"，"点我对话"),feizing旗舰店,feizing旗舰店,,,,,https://shop65141332.taobao.com,,,8678156.00,内蒙古,针织女,,4.93454分,48.53%,4.89757分,39.24%,4.91865分,49.02%,,,,,,,,,,
1926,广州听竹轩服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淑之尚旗舰店"，"点我对话"),淑之尚旗舰店,淑之尚旗舰店,,,,,https://shop233804255.taobao.com,,,0,内蒙古,针织女,,4.93383分,47.98%,4.87779分,27.50%,4.87711分,22.98%,,,,,,,,,,
1927,深圳市花儿开了服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoflowerscoming旗舰店"，"点我对话"),flowerscoming旗舰店,flowerscoming旗舰店,,,,,https://shop67806912.taobao.com,,,2927122.00,内蒙古,针织女,,4.93835分,51.53%,4.90456分,43.38%,4.90486分,40.37%,,,,,,,,,,
1928,深圳市舒友服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao舜女装旗舰店"，"点我对话"),舜女装旗舰店,舜女装旗舰店,,,,,https://shop106562143.taobao.com,,,69574.80,内蒙古,针织女,,4.98328分,86.85%,4.89967分,40.48%,4.94983分,68.56%,,,,,,,,,,
1929,深圳品范服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao慕荷旗舰店"，"点我对话"),慕荷旗舰店,慕荷旗舰店,,,,,https://shop107144123.taobao.com,,,0,内蒙古,针织女,,4.88315分,8.13%,4.85909分,16.41%,4.88448分,27.60%,,,,,,,,,,
1930,深圳市雅妮情服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣舒阁旗舰店"，"点我对话"),衣舒阁旗舰店,衣舒阁旗舰店,,,,,https://shop110314712.taobao.com,,,0,内蒙古,针织女,,4.86188分,0%,4.81876分,0%,4.84455分,2.58%,,,,,,,,,,
1931,深圳市滨海贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao墨洛旗舰店"，"点我对话"),墨洛旗舰店,墨洛旗舰店,,,,,https://shop102412073.taobao.com,,,383292.00,内蒙古,针织女,,4.97656分,81.57%,4.97405分,84.61%,4.97874分,86.68%,,,,,,,,,,
1932,深圳市荣子服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohonb红贝缇旗舰店"，"点我对话"),honb红贝缇旗舰店,honb红贝缇旗舰店,,,,,https://shop101397955.taobao.com,,,0,内蒙古,针织女,,4.92595分,41.78%,4.8886分,33.91%,4.90084分,37.85%,,,,,,,,,,
1933,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolingling20130406"，"点我对话"),lingling20130406,淑女阁美依依,,,,,https://shop108714147.taobao.com,,,82197.00,内蒙古,针织女,,4.98238分,91.40%,4.98574分,91.32%,4.98658分,91.50%,,,,,,,,,,
1934,深圳市一暮兴服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocissline旗舰店"，"点我对话"),cissline旗舰店,cissline旗舰店,,,,,https://shop212254759.taobao.com,,,4019193.00,内蒙古,针织女,,4.90424分,24.71%,4.88443分,31.44%,4.90559分,40.83%,,,,,,,,,,
1935,深圳市星河作品服饰文化有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozopin旗舰店"，"点我对话"),zopin旗舰店,zopin旗舰店,,,,,https://shop64048714.taobao.com,,,774254.00,内蒙古,针织女,,4.88635分,10.65%,4.87252分,24.38%,4.88936分,30.66%,,,,,,,,,,
1936,深圳市蒂斯芙服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodsfemer旗舰店"，"点我对话"),dsfemer旗舰店,dsfemer旗舰店,,,,,https://shop163369236.taobao.com,,,0,内蒙古,针织女,,4.92924分,44.37%,4.8786分,27.98%,4.90323分,39.35%,,,,,,,,,,
1937,深圳市丽领缘服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao幂芙丽旗舰店"，"点我对话"),幂芙丽旗舰店,幂芙丽旗舰店,,,,,https://shop232266233.taobao.com,,,536369.00,内蒙古,针织女,,4.9056分,25.77%,4.89381分,37.02%,4.90855分,42.70%,,,,,,,,,,
1938,雅安昕沫贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxmo旗舰店"，"点我对话"),xmo旗舰店,xmo旗舰店,,,,,https://shop110907689.taobao.com,,,581844.00,内蒙古,针织女,,4.92106分,37.94%,4.90694分,44.79%,4.92077分,50.34%,,,,,,,,,,
1939,常熟卡驰服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧即旗舰店"，"点我对话"),欧即旗舰店,欧即旗舰店,,,,,https://shop284407166.taobao.com,,,226825.00,内蒙古,针织女,,4.92617分,41.95%,4.88255分,30.33%,4.91275分,45.32%,,,,,,,,,,
1940,深圳市隆缘裳服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao隆缘裳服饰旗舰店"，"点我对话"),隆缘裳服饰旗舰店,隆缘裳服饰旗舰店,,,,,https://shop67697031.taobao.com,,,0,内蒙古,针织女,,4.87813分,4.18%,4.82194分,0%,4.85592分,9.70%,,,,,,,,,,
1941,深圳市晟唐电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqueennana旗舰店"，"点我对话"),queennana旗舰店,queennana旗舰店,,,,,https://shop64638612.taobao.com,,,0,内蒙古,针织女,,4.90613分,26.20%,4.87453分,25.57%,4.88621分,28.69%,,,,,,,,,,
1942,深圳市禾日时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocantomotto旗舰店"，"点我对话"),cantomotto旗舰店,cantomotto旗舰店,,,,,https://shop103801008.taobao.com,,,422791.00,内蒙古,针织女,,4.97233分,78.25%,4.94466分,67.17%,4.93478分,59.13%,,,,,,,,,,
1943,广州申晨电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao戈卡蒂旗舰店"，"点我对话"),戈卡蒂旗舰店,戈卡蒂旗舰店,,,,,https://shop560868895.taobao.com,,,4208671.00,内蒙古,针织女,,4.95244分,62.61%,4.9225分,54.03%,4.92734分,54.46%,,,,,,,,,,
1944,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚13888"，"点我对话"),时尚13888,创时代服装商行,,18818702026,18818702026,,https://shop35751750.taobao.com,,,66062.00,内蒙古,针织女,,4.93669分,69.12%,4.94693分,67.74%,4.94693分,66.43%,,,,,,,,,,
1945,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小幸运_定制"，"点我对话"),小幸运_定制,佰奈琪,,,,,https://shop402224479.taobao.com,,,342242.00,内蒙古,针织女,,4.91902,60.47%,4.94098,64.10%,4.94463分,64.94%,,,,,,,,,,
1946,深圳市本道服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolapora丽莫旗舰店"，"点我对话"),lapora丽莫旗舰店,lapora丽莫旗舰店,,,,,https://shop298443317.taobao.com,,,205330.00,内蒙古,针织女,,5.0分,100%,4.95758分,74.84%,4.95758分,73.41%,,,,,,,,,,
1947,深圳市世纪荣天科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao西之萱旗舰店"，"点我对话"),西之萱旗舰店,西之萱旗舰店,,,,,https://shop174854126.taobao.com,,,4836868.00,内蒙古,针织女,,4.89872分,20.37%,4.86012分,17.02%,4.87025分,18.68%,,,,,,,,,,
1948,深圳前海国泰安康科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao纯吟旗舰店"，"点我对话"),纯吟旗舰店,纯吟旗舰店,,,,,https://shop394255830.taobao.com,,,0,内蒙古,针织女,,4.96649分,73.65%,4.96649分,80.12%,4.97319分,83.20%,,,,,,,,,,
1949,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocalvinchou8"，"点我对话"),calvinchou8,我行我素欧洲站,,,13554968050,,https://shop64139733.taobao.com,,,51223.00,内蒙古,针织女,,4.81764分,10.99%,4.84903分,8.16%,4.86846分,16.72%,,,,,,,,,,
